Index,Title,Director (1),Director (2),Release Date (DD-MM-YYYY),IMDb (scored out of 10),IMDB Metascore (scored out of 100),Rotten Tomatoes - Critics (scored out of 100%),Rotten Tomatoes - Audience (scored out of 100%),Letterboxd (scored out of 5),CinemaScore (grades A+ to F),Budget (in million $),Domestic Gross (in million $),Worldwide Gross (in million $)
0,Iron Man,Jon Favreau,nan,02/05/08 0:00,7.9,79,94,91,3.7,A,140,319,585.8
1,The Incredible Hulk,Louis Leterrier,nan,13/06/08 0:00,6.6,61,68,69,2.5,A-,150,134.8,265.5
2,Iron Man 2,Jon Favreau,nan,07/05/10 0:00,6.9,57,72,71,2.9,A,200,312.4,623.9
3,Thor,Kenneth Branagh,nan,06/05/11 0:00,7,57,77,76,2.8,B+,150,181,449.3
4,Captain America: The First Avenger,Joe Johnston,nan,22/07/11 0:00,6.9,66,80,75,3.3,A-,215,176.7,370.6
5,The Avengers,Joss Whedon,nan,04/05/12 0:00,8,69,91,91,3.7,A+,225,623.4,1521
6,Iron Man 3,Shane Black,nan,03/05/13 0:00,7.1,62,79,78,3,A,200,409,1215
7,Thor: The Dark World,Alan Taylor,nan,08/11/13 0:00,6.7,54,67,75,2.2,A-,272,206.4,644.8
8,Captain America: The Winter Soldier,Anthony Russo,Joe Russo,04/04/14 0:00,7.7,70,90,92,3.7,A,177,259.8,714.4
9,Guardians of the Galaxy,James Gunn,nan,01/08/14 0:00,8,76,92,92,3.8,A,196,333.7,773.4
10,Avengers: Age of Ultron,Joss Whedon,nan,01/05/15 0:00,7.3,66,76,82,3.1,A,365,459,1405
11,Ant-Man,Peyton Reed,nan,17/07/15 0:00,7.2,64,83,85,3.2,A,169,180.2,519.3
12,Captain America: Civil War,Anthony Russo,Joe Russo,06/05/16 0:00,7.8,75,90,89,3.6,A,250,408.1,1155
13,Doctor Strange,Scott Derrickson,nan,04/08/16 0:00,7.5,72,89,86,3.4,A,236,232.6,677.8
14,Guardians of the Galaxy Vol. 2,James Gunn,nan,05/05/17 0:00,7.6,67,85,87,3.5,A,200,389.8,869
15,Spider-Man: Homecoming,Jon Watts,nan,07/07/17 0:00,7.4,73,92,87,3.5,A,175,334.2,880.9
16,Thor: Ragnarok,Taika Waititi,nan,03/11/17 0:00,7.9,74,93,87,3.7,A,180,316,865
17,Black Panther,Ryan Coogler,nan,16/02/18 0:00,7.3,88,96,79,3.7,A+,200,700.4,1350
18,Avengers: Infinity War,Anthony Russo,Joe Russo,27/04/18 0:00,8.4,68,85,92,4,A,400,678.8,2052
19,Ant-Man and the Wasp,Peyton Reed,nan,06/07/18 0:00,7,70,87,79,2.9,A-,195,216.6,622.7
20,Captain Marvel,Anna Boden,Ryan Fleck,08/03/19 0:00,6.8,64,79,45,2.7,A,175,426.8,1131
21,Avengers: Endgame,Anthony Russo,Joe Russo,26/04/19 0:00,8.4,78,94,90,3.9,A+,400,858.4,2799
22,Spider-Man: Far From Home,Jon Watts,nan,02/07/19 0:00,7.4,69,91,95,3.4,A,160,391.3,1133
23,Black Widow,Cate Shortland,nan,09/07/21 0:00,6.6,68,79,91,2.9,A-,288,183.7,379.8
24,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,nan,03/07/21 0:00,7.4,71,92,98,3.4,A,200,224.5,432.2
25,Eternals,Chloe Zhao,nan,05/11/21 0:00,6.3,52,47,77,2.7,B,236,164.9,402.1
26,Spider-Man: No Way Home,Jon Watts,nan,17/12/21 0:00,8.2,71,93,98,3.8,A+,200,814.9,1952
27,Doctor Strange in the Multiverse of Madness,Sam Raimi,nan,06/05/22 0:00,6.9,60,74,85,2.9,B+,350,411.3,955.8
28,Thor: Love and Thunder,Taika Waititi,nan,08/07/22 0:00,6.2,57,63,76,2.4,B+,250,343.3,760.9
29,Black Panther: Wakanda Forever,Ryan Coogler,nan,11/11/22 0:00,6.7,67,84,94,3.3,A,250,453.8,859.2
30,Ant-Man and the Wasp: Quantumania,Peyton Reed,nan,17/02/23 0:00,5.5,48,46,82,2.2,B,330,214.5,476.1
31,Guardians of the Galazy Vol. 3,James Gunn,nan,05/05/23 0:00,6,64,82,94,4,A,250,358.9,845.6
32,The Marvels,Nia DaCosta,nan,10/11/23 0:00,7.9,50,62,81,2.6,B,219.8,84.5,206.1
33,Deadpool & Wolverine,Shawn Levy,nan,26/07/24 0:00,7.8,56,78,94,3.6,A,200,636.7,1338